Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
Prostate-1H-S1;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S10;94.11764705882352;0;59.25925925925925;0;57.14285714285714;47.05882352941176;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S100;94.11764705882352;54.54545454545454;76.19047619047619;85.71428571428571;78.57142857142857;74.33155080213903;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S101;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S102;70.58823529411765;81.81818181818183;85.71428571428571;64.28571428571429;75;76.20320855614973;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S103;94.11764705882352;45.45454545454545;72.72727272727273;83.33333333333334;75;69.78609625668449;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S104;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S105;82.35294117647058;72.72727272727273;82.35294117647058;72.72727272727273;78.57142857142857;77.54010695187165;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S106;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S107;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S108;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S109;88.23529411764706;54.54545454545454;75;75;75;71.3903743315508;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S11;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S110;100;18.181818181818183;65.38461538461539;100;67.85714285714286;59.09090909090909;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S111;41.17647058823529;90.9090909090909;87.5;50;60.71428571428571;66.0427807486631;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S112;94.11764705882352;9.090909090909092;61.53846153846154;50;60.71428571428571;51.60427807486631;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S113;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S114;82.35294117647058;54.54545454545454;73.68421052631578;66.66666666666666;71.42857142857143;68.44919786096256;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S115;88.23529411764706;36.36363636363637;68.18181818181817;66.66666666666666;67.85714285714286;62.299465240641716;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S116;94.11764705882352;54.54545454545454;76.19047619047619;85.71428571428571;78.57142857142857;74.33155080213903;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S117;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S118;70.58823529411765;81.81818181818183;85.71428571428571;64.28571428571429;75;76.20320855614973;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S119;94.11764705882352;45.45454545454545;72.72727272727273;83.33333333333334;75;69.78609625668449;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S12;100;9.090909090909092;62.96296296296296;99.99999999999997;64.28571428571429;54.54545454545454;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S120;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S121;82.35294117647058;72.72727272727273;82.35294117647058;72.72727272727273;78.57142857142857;77.54010695187165;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S122;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-1H-S123;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S124;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-1H-S125;88.23529411764706;54.54545454545454;75;75;75;71.3903743315508;0;0;0;0;0;0;0;0;0;0;0;0
